tiempo_key	fecha	mes	anio	mes_nombre	dia	dia_nombre
20200101	2020/01/01	1	2020	ENERO	1	MIERCOLES
20200102	2020/01/02	1	2020	ENERO	2	JUEVES
20200103	2020/01/03	1	2020	ENERO	3	VIERNES
20200104	2020/01/04	1	2020	ENERO	4	SABADO
20200105	2020/01/05	1	2020	ENERO	5	DOMINGO
20200106	2020/01/06	1	2020	ENERO	6	LUNES
20200107	2020/01/07	1	2020	ENERO	7	MARTES
20200108	2020/01/08	1	2020	ENERO	8	MIERCOLES
20200109	2020/01/09	1	2020	ENERO	9	JUEVES
20200110	2020/01/10	1	2020	ENERO	10	VIERNES
20200111	2020/01/11	1	2020	ENERO	11	SABADO
20200112	2020/01/12	1	2020	ENERO	12	DOMINGO
20200113	2020/01/13	1	2020	ENERO	13	LUNES
20200114	2020/01/14	1	2020	ENERO	14	MARTES
20200115	2020/01/15	1	2020	ENERO	15	MIERCOLES
20200116	2020/01/16	1	2020	ENERO	16	JUEVES
20200117	2020/01/17	1	2020	ENERO	17	VIERNES
20200118	2020/01/18	1	2020	ENERO	18	SABADO
20200119	2020/01/19	1	2020	ENERO	19	DOMINGO
20200120	2020/01/20	1	2020	ENERO	20	LUNES
20200121	2020/01/21	1	2020	ENERO	21	MARTES
20200122	2020/01/22	1	2020	ENERO	22	MIERCOLES
20200123	2020/01/23	1	2020	ENERO	23	JUEVES
20200124	2020/01/24	1	2020	ENERO	24	VIERNES
20200125	2020/01/25	1	2020	ENERO	25	SABADO
20200126	2020/01/26	1	2020	ENERO	26	DOMINGO
20200127	2020/01/27	1	2020	ENERO	27	LUNES
20200128	2020/01/28	1	2020	ENERO	28	MARTES
20200129	2020/01/29	1	2020	ENERO	29	MIERCOLES
20200130	2020/01/30	1	2020	ENERO	30	JUEVES
20200131	2020/01/31	1	2020	ENERO	31	VIERNES
20200201	2020/02/01	2	2020	FEBRERO	1	SABADO
20200202	2020/02/02	2	2020	FEBRERO	2	DOMINGO
20200203	2020/02/03	2	2020	FEBRERO	3	LUNES
20200204	2020/02/04	2	2020	FEBRERO	4	MARTES
20200205	2020/02/05	2	2020	FEBRERO	5	MIERCOLES
20200206	2020/02/06	2	2020	FEBRERO	6	JUEVES
20200207	2020/02/07	2	2020	FEBRERO	7	VIERNES
20200208	2020/02/08	2	2020	FEBRERO	8	SABADO
20200209	2020/02/09	2	2020	FEBRERO	9	DOMINGO
20200210	2020/02/10	2	2020	FEBRERO	10	LUNES
20200211	2020/02/11	2	2020	FEBRERO	11	MARTES
20200212	2020/02/12	2	2020	FEBRERO	12	MIERCOLES
20200213	2020/02/13	2	2020	FEBRERO	13	JUEVES
20200214	2020/02/14	2	2020	FEBRERO	14	VIERNES
20200215	2020/02/15	2	2020	FEBRERO	15	SABADO
20200216	2020/02/16	2	2020	FEBRERO	16	DOMINGO
20200217	2020/02/17	2	2020	FEBRERO	17	LUNES
20200218	2020/02/18	2	2020	FEBRERO	18	MARTES
20200219	2020/02/19	2	2020	FEBRERO	19	MIERCOLES
20200220	2020/02/20	2	2020	FEBRERO	20	JUEVES
20200221	2020/02/21	2	2020	FEBRERO	21	VIERNES
20200222	2020/02/22	2	2020	FEBRERO	22	SABADO
20200223	2020/02/23	2	2020	FEBRERO	23	DOMINGO
20200224	2020/02/24	2	2020	FEBRERO	24	LUNES
